,Ingredient,id,cal/g,fat(g),carb(g),protein(g),vit_a,vit_c,iron,trans_fat,sat_fat,cholesterol,sodium,carbs,fiber,sugars,calcium,protein,energy,fdcID
0,agave nectar,151,3.1,0.005,0.76,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,alcohol,64,0.431,0.0,0.036,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,alfalfa,93,0.29,0.007,0.038,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,almond butter,171,6.086,0.555,0.187,0.209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,almond milk,476,0.23,0.01,0.032,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,almonds,77,5.781,0.495,0.227,0.224,0.0,0.0,1.48,0.0,0.008299595141700405,0.0,0.0,8.22,0.01659919028340081,0.011093117408906884,0.44534412955465585,0.03327935222672065,247.0,2045940.0
6,american cheese,465,3.12,0.23,0.088,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,anchovies,439,2.1,0.097,0.0,0.29,0.0,0.0,2.4,0.0,0.0,80.0,35.131736526946106,0.0,0.0,0.0,1.598802395209581,0.11976047904191617,167.0,1850783.0
8,apple,54,0.52,0.002,0.14,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,apple cider,159,0.462,0.001,0.113,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,apple juice,85,0.46,0.001,0.11,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,apple pie,175,2.367,0.11,0.345,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
